Numéro de formulaire;Genre;Age;Taille;Poids;IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS;Equilibre alim;Seule ou en groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5;Ami 6;Ami 7;Ami 8;Ami 9;Ami 10;Ami 11;Ami 12;Ami 13;Ami 14;Ami 15;Ami 16;Ami 17;onehot_fruits;onehot_fromage;onehot_saladefeculents;onehot_crudites;onehot_charcuterie;onehot_viande;onehot_poisson;onehot_vege;onehot_yaourt;onehot_dessertgourmand;onehot_cremedessert;onehot_accompagnement
0A2A;1.0;20.0;1.755;51.0;15.0;3.0;1.0;0.0;2.0;2;1.0;2.0;1.0;1.0;1.0;0;1.0;0.0;2.0;0.0;2.0;7F8H;;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;1;0;0;1
0A4U;1.0;19.0;1.78;59.0;20.0;0.0;0.0;0.0;2.0;2;1.0;6.0;1.0;1.0;1.0;0;3.0;0.0;2.0;0.0;5.0;0R4C;6O4Y;0S0Q;2U4F;;;;;;;;;;;;;;0;0;0;1;0;1;0;0;1;0;0;1
0A8B;0.0;21.0;1.65;50.0;20.0;0.0;0.0;0.0;2.0;1;1.0;7.0;1.0;1.0;1.0;1;3.0;1.0;2.0;2.0;7.0;0F7G;9A0P;3T0P;9F9T;8I1P;4M3X;;;;;;;;;;;;0;0;0;0;0;1;0;0;1;0;0;1
0B2M;1.0;18.0;1.78;65.0;20.0;1.0;0.0;0.0;2.0;1;1.0;2.0;1.0;1.0;1.0;0;2.0;1.0;2.0;1.0;2.0;7G6O;;;;;;;;;;;;;;;;;0;0;0;0;1;1;0;0;1;0;0;1
0C8K;1.0;18.0;1.87;83.0;25.0;3.0;0.0;0.0;2.0;0;1.0;2.0;1.0;1.0;1.0;0;0.0;1.0;2.0;1.0;2.0;6Y2Q;;;;;;;;;;;;;;;;;1;0;0;0;0;1;0;0;1;0;0;1
0E2X;1.0;21.0;1.9;85.0;25.0;2.0;0.0;0.0;2.0;2;1.0;3.0;1.0;1.0;1.0;1;2.0;2.0;2.0;1.0;3.0;5G9R;0M0L;;;;;;;;;;;;;;;;0;0;1;0;0;1;0;0;0;1;0;1
0G1P;0.0;21.0;1.66;54.0;20.0;2.0;0.0;1.0;2.0;4;1.0;2.0;1.0;1.0;1.0;2;2.0;0.0;1.0;0.0;2.0;5C9D;;;;;;;;;;;;;;;;;1;0;0;1;0;1;0;0;0;0;0;1
0G5M;1.0;22.0;1.75;50.0;15.0;0.0;0.0;0.0;2.0;0;1.0;5.0;1.0;1.0;1.0;0;2.0;0.0;3.0;0.0;3.0;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;1;0;0;1
0H2B;1.0;20.0;1.86;75.0;20.0;2.0;0.0;0.0;1.0;1;1.0;6.0;1.0;1.0;1.0;0;3.0;1.0;2.0;0.0;3.0;4S3S;1J8K;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;1;1;0;1
0H5L;0.0;21.0;1.71;56.0;20.0;2.0;0.0;0.0;2.0;2;1.0;4.0;0.0;0.0;0.0;0;0.0;0.0;3.0;2.0;14.0;4O8C;1Y7U;2J2X;8Q9F;9X1Z;1S8D;7N0N;3S5G;1A9V;6A4U;4R8R;9C8Y;7R7Y;;;;;0;1;0;1;0;0;1;0;0;1;0;1
0H8R;0.0;22.0;1.57;45.0;20.0;1.0;0.0;0.0;2.0;0;0.0;6.0;1.0;1.0;1.0;0;0.0;0.0;3.0;0.0;6.0;1Y9W;6V9Q;4H1X;1C3K;8N4I;;;;;;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;1
0I7G;1.0;21.0;1.78;63.0;20.0;2.0;0.0;0.0;1.0;2;1.0;3.0;1.0;1.0;1.0;0;0.0;1.0;0.0;0.0;5.0;3F4Z;4C0V;;;;;;;;;;;;;;;;0;1;0;0;0;0;0;1;0;0;1;1
0J8O;1.0;20.0;1.79;62.0;20.0;1.0;1.0;0.0;2.0;2;0.0;20.0;1.0;1.0;1.0;1;3.0;0.0;2.0;1.0;3.0;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;0;0;1;0
0M0L;1.0;21.0;1.75;62.0;20.0;2.0;0.0;0.0;1.0;2;1.0;3.0;1.0;1.0;1.0;0;1.0;0.0;2.0;0.0;3.0;5G9R;0E2X;;;;;;;;;;;;;;;;0;1;0;0;0;1;0;0;0;0;0;1
0N3Z;0.0;19.0;1.57;45.0;0.0;1.0;0.0;0.0;2.0;1;0.0;1.0;0.0;0.0;0.0;0;2.0;0.0;2.0;1.0;1.0;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;0;0;0;1
0N9G;1.0;21.0;1.75;60.0;20.0;2.0;1.0;1.0;2.0;2;0.0;4.0;0.0;0.0;0.0;0;3.0;0.0;3.0;3.0;3.0;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0
0N9P;1.0;20.0;1.89;70.0;20.0;3.0;0.0;0.0;2.0;1;1.0;2.0;1.0;1.0;1.0;0;3.0;0.0;2.0;0.0;2.0;9O9K;;;;;;;;;;;;;;;;;0;0;0;0;1;0;1;1;1;1;0;1
0O5Q;1.0;21.0;1.7;70.0;25.0;1.0;0.0;0.0;2.0;1;1.0;4.0;0.0;0.0;1.0;0;1.0;0.0;2.0;0.0;4.0;5B2Z;5I3E;9J6M;;;;;;;;;;;;;;;0;0;0;1;0;1;0;0;1;0;0;1
0P1I;1.0;25.0;1.78;74.0;25.0;1.0;0.0;0.0;2.0;1;0.0;2.0;1.0;1.0;1.0;0;0.0;0.0;3.0;3.0;2.0;6W4Y;;;;;;;;;;;;;;;;;1;0;0;1;0;0;1;0;0;0;0;1
0P1K;1.0;18.0;1.85;85.0;25.0;1.0;0.0;0.0;2.0;2;0.0;2.0;1.0;0.0;0.0;0;1.0;0.0;1.0;2.0;2.0;0P5K;;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;1;1
0P5K;1.0;18.0;1.85;85.0;25.0;1.0;0.0;0.0;2.0;2;0.0;2.0;1.0;1.0;1.0;0;2.0;0.0;2.0;2.0;2.0;0P1K;;;;;;;;;;;;;;;;;1;0;0;0;0;1;0;0;1;0;0;1
0R4C;1.0;19.0;1.87;67.0;20.0;3.0;0.0;0.0;2.0;2;1.0;6.0;0.0;1.0;1.0;0;0.0;0.0;3.0;1.0;5.0;6O4Y;0S0Q;0A4U;2U4F;;;;;;;;;;;;;;0;0;0;1;0;1;0;0;1;0;0;1
0R4J;1.0;20.0;1.93;99.0;25.0;3.0;0.0;0.0;2.0;2;0.0;2.0;1.0;1.0;1.0;1;3.0;0.0;2.0;0.0;2.0;3W5V;;;;;;;;;;;;;;;;;1;0;0;0;0;0;1;0;0;1;0;1
0R4X;1.0;20.0;1.85;67.0;20.0;1.0;0.0;0.0;2.0;1;0.0;6.0;1.0;1.0;1.0;0;3.0;0.0;2.0;1.0;6.0;4A1V;6U3B;8B8H;2L2Z;8W4Q;;;;;;;;;;;;;0;0;0;1;0;1;0;0;0;0;0;1
0R7V;1.0;18.0;1.82;58.0;20.0;1.0;0.0;0.0;1.0;1;1.0;2.0;0.0;1.0;1.0;0;1.0;1.0;2.0;0.0;2.0;1Y1C;;;;;;;;;;;;;;;;;0;0;0;1;0;0;1;0;1;0;0;1
0S0Q;1.0;19.0;1.78;55.0;15.0;2.0;0.0;0.0;2.0;2;1.0;6.0;1.0;1.0;1.0;1;2.0;0.0;2.0;0.0;5.0;6O4Y;0A4U;0R4C;2U4F;;;;;;;;;;;;;;1;0;0;1;0;1;0;0;1;0;0;1
0S4Y;1.0;24.0;1.8;80.0;25.0;2.0;0.0;0.0;2.0;1;1.0;3.0;1.0;1.0;1.0;0;3.0;0.0;3.0;1.0;3.0;2T3H;8E1F;;;;;;;;;;;;;;;;0;1;0;0;0;1;0;0;0;1;0;1
0S7C;0.0;20.0;1.58;68.0;25.0;2.0;1.0;0.0;2.0;2;1.0;7.0;1.0;1.0;0.0;0;3.0;0.0;3.0;0.0;7.0;1N9S;3W3R;7F5N;1J4B;2G9N;2G0T;;;;;;;;;;;;0;1;0;0;1;0;1;0;0;0;0;1
0T3B;1.0;21.0;1.8;70.0;20.0;3.0;0.0;0.0;2.0;2;1.0;3.0;1.0;1.0;1.0;1;0.0;0.0;1.0;2.0;2.0;6F0E;;;;;;;;;;;;;;;;;1;0;0;0;1;1;0;0;1;0;0;1
0U8E;1.0;21.0;1.87;70.0;20.0;0.0;0.0;0.0;2.0;2;1.0;5.0;1.0;1.0;1.0;0;3.0;0.0;1.0;0.0;4.0;5Z4K;3U7V;7A0X;;;;;;;;;;;;;;;1;0;0;1;0;0;1;0;1;0;0;1
0X7C;1.0;21.0;1.8;72.0;20.0;1.0;0.0;0.0;1.0;1;1.0;12.0;1.0;1.0;1.0;3;2.0;0.0;2.0;0.0;6.0;3R3M;0O9T;3M6S;5A0R;2M6T;;;;;;;;;;;;;0;0;0;0;0;0;1;0;1;0;1;1
0Y1T;1.0;20.0;1.7;45.0;15.0;1.0;0.0;0.0;2.0;2;0.0;8.0;0.0;0.0;0.0;0;2.0;1.0;2.0;1.0;7.0;9S9J;6T3S;4M6N;5I5P;9B3F;4R6L;;;;;;;;;;;;1;0;0;0;0;1;0;0;0;0;0;1
0Y5X;1.0;21.0;1.83;75.0;20.0;3.0;0.0;0.0;2.0;2;1.0;10.0;1.0;1.0;1.0;0;3.0;0.0;1.0;0.0;7.0;4D2Y;3Y2G;6G4G;3K9G;6C3U;5F9Z;;;;;;;;;;;;0;0;1;0;0;1;0;0;0;1;0;1
1A9V;1.0;21.0;1.74;65.0;20.0;0.0;0.0;0.0;1.0;1;1.0;8.0;1.0;1.0;1.0;0;0.0;0.0;1.0;1.0;14.0;4O8C;1Y7U;2J2X;8Q9F;9X1Z;0H5L;1S8D;7N0N;3S5G;6A4U;4R8R;7R7Y;9C8Y;;;;;0;0;0;1;0;1;0;0;0;1;0;1
1B0U;1.0;22.0;1.83;68.0;20.0;2.0;0.0;1.0;2.0;4;1.0;5.0;1.0;1.0;1.0;1;3.0;0.0;2.0;1.0;5.0;2P1V;0A5K;7F5T;0O3R;;;;;;;;;;;;;;0;1;0;0;0;0;0;1;0;1;0;1
1B2S;0.0;18.0;1.64;54.0;20.0;0.0;0.0;0.0;2.0;0;1.0;8.0;1.0;1.0;1.0;1;3.0;1.0;1.0;2.0;8.0;2A1P;7K8M;8H4M;8O3V;2Y1W;0Z9C;4H1P;;;;;;;;;;;1;0;0;0;0;1;0;0;1;0;0;1
1C3K;1.0;19.0;1.69;73.0;25.0;2.0;0.0;0.0;2.0;0;0.0;6.0;1.0;1.0;1.0;3;2.0;2.0;3.0;2.0;6.0;4H1X;0H8R;1Y9W;6V9Q;8N4I;;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0
1C5X;1.0;23.0;1.8;74.0;25.0;1.0;1.0;1.0;2.0;4;1.0;6.0;0.0;0.0;0.0;0;1.0;0.0;2.0;2.0;6.0;6O7D;8S7L;4C3L;7B2H;2Q8X;;;;;;;;;;;;;0;0;1;0;0;0;0;1;0;1;0;1
1C8S;1.0;22.0;1.73;73.0;25.0;2.0;0.0;0.0;1.0;2;0.0;1.0;0.0;0.0;0.0;0;0.0;1.0;1.0;2.0;1.0;;;;;;;;;;;;;;;;;;1;0;0;1;0;0;1;0;0;0;0;1
1F7A;1.0;24.0;1.79;78.0;25.0;1.0;0.0;0.0;1.0;4;1.0;5.0;1.0;1.0;1.0;2;2.0;0.0;2.0;2.0;3.0;0R1F;3X3L;;;;;;;;;;;;;;;;1;0;0;0;0;1;0;0;1;0;0;1
1F9Y;1.0;27.0;1.8;75.0;25.0;3.0;0.0;0.0;1.0;2;1.0;6.0;1.0;0.0;0.0;0;2.0;0.0;1.0;1.0;6.0;9I1E;9I2L;4M4I;9R1R;8A1R;;;;;;;;;;;;;0;0;1;0;0;1;0;0;0;1;0;1
1G3P;1.0;19.0;1.82;70.0;20.0;2.0;0.0;0.0;2.0;2;0.0;9.0;1.0;1.0;1.0;0;2.0;0.0;1.0;1.0;5.0;1O2H;3H8D;9J2Z;5L2C;;;;;;;;;;;;;;1;0;0;1;0;1;0;0;0;0;0;1
1G6O;1.0;18.0;1.83;78.0;25.0;1.0;0.0;0.0;2.0;1;1.0;2.0;1.0;1.0;1.0;1;1.0;0.0;2.0;2.0;2.0;7Z3H;;;;;;;;;;;;;;;;;0;0;0;1;1;1;0;0;1;0;0;1
1G7G;1.0;24.0;1.8;70.0;20.0;2.0;0.0;0.0;2.0;2;1.0;4.0;1.0;1.0;1.0;1;1.0;0.0;2.0;1.0;4.0;5M0T;9R6Y;4F9D;;;;;;;;;;;;;;;0;0;0;1;0;0;1;0;0;0;1;1
1I1F;0.0;20.0;1.58;52.0;20.0;2.0;1.0;0.0;2.0;1;1.0;2.0;1.0;1.0;1.0;3;3.0;0.0;3.0;1.0;2.0;3L2B;;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;1
1J4B;0.0;19.0;1.65;60.0;20.0;1.0;0.0;0.0;0.0;2;1.0;11.0;1.0;1.0;1.0;2;3.0;0.0;3.0;0.0;7.0;1N9S;7F5N;3W3R;2G0T;0S7C;2G9N;;;;;;;;;;;;0;0;0;0;0;0;1;0;1;0;0;1
1J5T;1.0;25.0;1.94;82.0;20.0;3.0;0.0;0.0;2.0;1;1.0;3.0;1.0;1.0;1.0;2;1.0;2.0;2.0;1.0;3.0;5R0T;3L6Q;;;;;;;;;;;;;;;;1;0;0;0;1;0;1;0;1;0;0;1
1J6P;1.0;23.0;1.7;78.0;25.0;2.0;0.0;0.0;1.0;2;1.0;6.0;1.0;1.0;1.0;0;3.0;0.0;3.0;0.0;5.0;6T3Q;8K6W;2K9I;9W3O;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;1;1;0;1
1J8K;1.0;23.0;1.64;61.0;25.0;3.0;1.0;1.0;1.0;4;1.0;5.0;1.0;1.0;1.0;1;2.0;0.0;2.0;1.0;3.0;4S3S;0H2B;;;;;;;;;;;;;;;;1;0;0;0;0;1;0;0;0;0;0;1
1L0F;1.0;21.0;1.7;51.0;20.0;2.0;1.0;0.0;2.0;2;1.0;5.0;0.0;0.0;0.0;0;0.0;0.0;2.0;2.0;3.0;;;;;;;;;;;;;;;;;;0;0;0;1;0;0;0;1;1;0;0;0
1L4G;0.0;21.0;1.63;55.0;20.0;1.0;0.0;0.0;2.0;1;1.0;2.0;1.0;1.0;1.0;1;2.0;0.0;2.0;0.0;6.0;5W6M;8J2L;2S4Q;1M2Q;9K2W;;;;;;;;;;;;;1;0;0;0;0;0;1;0;0;0;0;1
1M2Q;1.0;21.0;1.69;55.0;20.0;0.0;0.0;0.0;2.0;1;1.0;8.0;1.0;1.0;1.0;2;1.0;1.0;3.0;0.0;6.0;5W6M;1L4G;9K2W;2S4Q;8J2L;;;;;;;;;;;;;0;0;0;0;0;1;0;0;1;0;0;1
1M4Q;1.0;18.0;1.75;65.0;20.0;1.0;1.0;0.0;2.0;1;0.0;2.0;1.0;1.0;1.0;1;2.0;1.0;2.0;2.0;2.0;1D4B;;;;;;;;;;;;;;;;;1;0;0;0;0;0;1;0;0;0;0;1
1M5C;1.0;22.0;1.77;60.0;20.0;2.0;1.0;0.0;1.0;2;1.0;3.0;1.0;1.0;1.0;2;3.0;0.0;2.0;1.0;3.0;1T2N;9Y6D;;;;;;;;;;;;;;;;0;0;0;1;0;0;1;0;1;0;0;1
1N9S;1.0;18.0;1.72;75.0;25.0;3.0;1.0;1.0;2.0;4;1.0;11.0;1.0;1.0;1.0;1;1.0;0.0;3.0;1.0;7.0;1J4B;3W3R;2G0T;7F5N;0S7C;2G9N;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;0;0;0
1O0R;1.0;19.0;1.72;65.0;20.0;2.0;0.0;0.0;2.0;2;1.0;5.0;1.0;1.0;1.0;1;3.0;0.0;3.0;2.0;3.0;3V9C;5I5D;;;;;;;;;;;;;;;;0;1;1;0;0;1;0;0;0;1;0;1
1O2H;0.0;21.0;1.69;56.0;20.0;2.0;0.0;0.0;2.0;4;0.0;9.0;1.0;0.0;0.0;2;3.0;0.0;3.0;1.0;5.0;1G3P;5L2C;9J2Z;3H8D;;;;;;;;;;;;;;1;0;0;1;0;1;0;0;1;0;0;1
1P5N;1.0;19.0;1.74;74.0;25.0;2.0;1.0;0.0;2.0;2;1.0;4.0;0.0;0.0;0.0;1;1.0;0.0;2.0;2.0;3.0;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;1;0;0;1
1Q9K;1.0;22.0;1.83;90.0;25.0;1.0;0.0;0.0;2.0;1;1.0;2.0;1.0;1.0;1.0;1;0.0;0.0;3.0;0.0;3.0;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;0;1;1;0;0;1
1R9D;1.0;22.0;1.72;82.0;30.0;2.0;1.0;0.0;1.0;0;1.0;9.0;0.0;0.0;0.0;1;3.0;1.0;3.0;1.0;10.0;9B5K;0F1W;2R7A;4A7O;3O6U;9M5B;5Q1R;1W7I;1O2T;;;;;;;;;0;0;0;0;1;0;1;0;0;1;0;1
1T2N;1.0;21.0;1.7;80.0;30.0;1.0;0.0;0.0;2.0;4;1.0;11.0;1.0;1.0;1.0;0;0.0;0.0;2.0;1.0;3.0;1M5C;9Y6D;;;;;;;;;;;;;;;;1;0;0;1;0;0;1;0;1;0;0;1
1T9W;0.0;21.0;1.62;54.0;20.0;2.0;0.0;0.0;2.0;2;1.0;3.0;1.0;1.0;1.0;1;2.0;0.0;2.0;2.0;3.0;3R5P;1W6X;;;;;;;;;;;;;;;;1;0;0;0;0;0;1;0;1;0;0;1
1U6R;1.0;23.0;1.83;65.0;20.0;2.0;1.0;1.0;2.0;4;1.0;2.0;1.0;1.0;1.0;0;0.0;1.0;2.0;0.0;2.0;8G6G;;;;;;;;;;;;;;;;;0;0;0;1;0;0;0;1;1;0;0;1
1U7O;1.0;20.0;1.74;57.0;20.0;2.0;0.0;0.0;1.0;2;1.0;10.0;1.0;0.0;0.0;1;2.0;1.0;3.0;2.0;3.0;2Z9A;2R9X;;;;;;;;;;;;;;;;1;0;0;0;0;1;0;0;0;0;1;1
1V0X;1.0;24.0;1.7;71.0;25.0;3.0;0.0;0.0;1.0;4;1.0;5.0;1.0;0.0;0.0;0;0.0;0.0;3.0;1.0;5.0;4P8C;5Q8S;5L7H;5W0Z;;;;;;;;;;;;;;1;0;0;0;0;0;1;0;0;0;0;1
1W3S;1.0;20.0;1.73;64.0;20.0;3.0;0.0;0.0;2.0;2;1.0;3.0;1.0;1.0;1.0;0;1.0;0.0;2.0;1.0;3.0;1B3G;7T4X;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;1;1;0;1
1W6X;0.0;20.0;1.6;42.0;15.0;2.0;0.0;0.0;2.0;4;1.0;3.0;1.0;1.0;1.0;0;3.0;1.0;3.0;3.0;3.0;3R5P;1T9W;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;1;0;0;1
1W7I;1.0;21.0;1.8;64.0;20.0;1.0;0.0;0.0;2.0;1;1.0;9.0;1.0;1.0;1.0;0;2.0;0.0;3.0;1.0;10.0;4A7O;0F1W;9B5K;1R9D;2R7A;1O2T;9M5B;3O6U;5Q1R;;;;;;;;;0;0;1;1;0;1;0;0;1;0;0;1
1W8I;1.0;21.0;1.84;69.0;20.0;2.0;1.0;0.0;2.0;1;1.0;4.0;1.0;1.0;1.0;0;1.0;0.0;1.0;0.0;3.0;6L3J;6C9H;;;;;;;;;;;;;;;;1;0;0;0;1;1;0;0;1;0;0;1
1Y1C;1.0;19.0;1.6;65.0;25.0;0.0;0.0;0.0;2.0;1;1.0;2.0;0.0;1.0;1.0;0;0.0;0.0;3.0;0.0;2.0;0R7V;;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;1;0;0;1
1Y7U;0.0;20.0;1.58;52.0;20.0;2.0;1.0;0.0;2.0;1;1.0;8.0;1.0;1.0;1.0;1;3.0;0.0;2.0;2.0;14.0;4O8C;2J2X;8Q9F;9X1Z;0H5L;1S8D;7N0N;3S5G;1A9V;6A4U;4R8R;9C8Y;7R7Y;;;;;0;0;1;1;0;1;0;0;1;0;0;1
1Y9T;1.0;21.0;1.79;85.0;25.0;2.0;0.0;0.0;2.0;2;1.0;5.0;1.0;1.0;1.0;0;1.0;2.0;2.0;0.0;3.0;6H4A;4K3B;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;1;0;0;0
1Y9W;0.0;20.0;1.65;61.0;20.0;2.0;0.0;0.0;2.0;2;0.0;6.0;1.0;1.0;1.0;0;3.0;1.0;2.0;3.0;6.0;6V9Q;8N4I;0H8R;1C3K;4H1X;;;;;;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;1
2A1P;0.0;18.0;1.64;55.0;20.0;2.0;0.0;0.0;2.0;0;1.0;8.0;1.0;1.0;1.0;1;1.0;0.0;2.0;0.0;8.0;0Z9C;1B2S;8H4M;4H1P;7K8M;2Y1W;8O3V;;;;;;;;;;;1;0;0;0;0;1;0;0;1;0;0;1
2A2L;1.0;19.0;1.72;70.0;25.0;3.0;0.0;0.0;2.0;2;1.0;11.0;1.0;1.0;1.0;0;3.0;0.0;3.0;3.0;3.0;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;1;0;0;1
2B6T;1.0;18.0;1.73;56.0;20.0;2.0;0.0;0.0;2.0;2;0.0;3.0;1.0;1.0;1.0;2;2.0;0.0;1.0;2.0;3.0;2Q6Z;6C9V;;;;;;;;;;;;;;;;1;0;0;0;0;1;0;0;0;1;0;1
2E1F;0.0;20.0;1.6;60.0;25.0;1.0;1.0;0.0;2.0;2;1.0;2.0;1.0;1.0;0.0;0;1.0;0.0;2.0;0.0;2.0;9I3E;;;;;;;;;;;;;;;;;0;0;0;1;0;0;0;1;1;0;1;0
2E8L;1.0;20.0;1.84;72.0;20.0;3.0;0.0;0.0;2.0;2;1.0;4.0;0.0;0.0;1.0;0;2.0;0.0;2.0;1.0;4.0;2H8Q;;;;;;;;;;;;;;;;;0;0;0;1;0;0;1;0;1;0;0;1
2E8R;0.0;19.0;1.67;64.0;25.0;2.0;0.0;0.0;2.0;4;1.0;2.0;0.0;1.0;1.0;0;2.0;0.0;1.0;1.0;2.0;7E5H;;;;;;;;;;;;;;;;;0;1;0;0;0;0;1;0;1;0;0;1
2G0T;0.0;19.0;1.73;60.0;20.0;2.0;0.0;0.0;1.0;4;1.0;7.0;0.0;0.0;0.0;0;2.0;1.0;2.0;1.0;7.0;1N9S;3W3R;0S7C;7F5N;1J4B;2G9N;;;;;;;;;;;;0;0;0;0;0;0;1;0;1;0;0;1
2G2S;0.0;19.0;1.62;60.0;25.0;1.0;0.0;0.0;1.0;1;1.0;11.0;1.0;1.0;1.0;0;1.0;0.0;2.0;2.0;3.0;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;1;0;0;1
2G3P;1.0;20.0;1.69;65.0;25.0;0.0;0.0;0.0;2.0;3;1.0;2.0;1.0;1.0;1.0;1;2.0;0.0;2.0;1.0;2.0;8O4J;;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;1;0;0;1
2H3W;1.0;25.0;1.73;65.0;20.0;2.0;1.0;0.0;2.0;2;0.0;4.0;0.0;0.0;0.0;0;3.0;0.0;3.0;3.0;3.0;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;0
2H8Q;1.0;20.0;1.75;75.0;25.0;3.0;0.0;0.0;2.0;2;1.0;4.0;0.0;0.0;1.0;0;1.0;1.0;3.0;0.0;4.0;2E8L;;;;;;;;;;;;;;;;;1;0;0;1;0;1;0;0;1;0;0;1
