;Numéro de formulaire;Genre;Age;Taille;Poids;IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS;Equilibre alim;Seule ou en groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5;Ami 6;Ami 7;Ami 8;Ami 9;Ami 10;Ami 11;Ami 12;Ami 13;Ami 14;Ami 15;Ami 16;Ami 17;Horodateur;saladesoja;carottes;saladeriz;saucisson;endives;sardines;cabillaud;lasagnesvg;chipo;pizza;burger;semoule;frites;fruit;yaourt;donut;crèmedessert;emmental;tartefrboisesananas;moussechocolat;chaource
0;C02;1.0;;;;;;0.0;;1.0;3;;;;1.0;;1;0.0;1.0;2.0;;;C01;;;;;;;;;;;;;;;;;12:39;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
1;C19;1.0;;;;;;1.0;;2.0;3;;;;0.0;;1;0.0;0.0;2.0;;;C20;;;;;;;;;;;;;;;;;12:17;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2;C21;0.0;;;;;;0.0;;2.0;0;;;;1.0;;1;1.0;1.0;2.0;;;C22;;;;;;;;;;;;;;;;;12:48;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
3;C17;0.0;;;;;;1.0;;2.0;3;;;;;;2;;2.0;3.0;;;C18;;;;;;;;;;;;;;;;;12:26;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
4;C22;1.0;;;;;;0.0;;2.0;3;;;;1.0;;2;1.0;1.0;2.0;;;C21;;;;;;;;;;;;;;;;;12:47;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
5;C25;1.0;;;;;;0.0;;2.0;1;;;;1.0;;1;3.0;2.0;3.0;;;C24;C26;C27;;;;;;;;;;;;;;;12:25;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
6;C24;0.0;;;;;;0.0;;2.0;3;;;;0.0;;1;2.0;2.0;;;;C25;C26;C27;;;;;;;;;;;;;;;12:25;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
7;C29;1.0;;;;;;0.0;;2.0;3;;;;1.0;;1;0.0;;2.0;;;C33;;;;;;;;;;;;;;;;;12:16;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
8;C26;1.0;;;;;;0.0;;1.0;3;;;;1.0;;1;2.0;0.0;1.0;;;C24;C25;C27;;;;;;;;;;;;;;;12:26;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
9;C30;1.0;;;;;;0.0;;2.0;1;;;;1.0;;1;2.0;2.0;2.0;;;C31;C32;;;;;;;;;;;;;;;;12:18;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
10;C31;1.0;;;;;;0.0;;0.0;0;;;;1.0;;2;2.0;1.0;2.0;;;C30;C32;;;;;;;;;;;;;;;;12:19;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
11;C32;1.0;;;;;;0.0;;0.0;2;;;;1.0;;1;2.0;0.0;2.0;;;C30;C31;;;;;;;;;;;;;;;;12:19;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
12;A03;1.0;;;;;;1.0;;2.0;1;;;;1.0;;2;2.0;0.0;3.0;;;A02;A01;;;;;;;;;;;;;;;;12:18;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
13;A02;0.0;;;;;;0.0;;2.0;1;;;;1.0;;2;2.0;1.0;1.0;;;A01;A03;;;;;;;;;;;;;;;;12:19;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
14;A01;;;;;;;1.0;;2.0;3;;;;1.0;;1;2.0;0.0;2.0;;;A03;A02;;;;;;;;;;;;;;;;12:18;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
15;A16;0.0;;;;;;0.0;;2.0;3;;;;1.0;;1;3.0;2.0;1.0;;;A15;A17;;;;;;;;;;;;;;;;12:30;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
16;A17;1.0;;;;;;0.0;;2.0;4;;;;1.0;;1;3.0;2.0;3.0;;;A16;A15;;;;;;;;;;;;;;;;12:30;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
17;A15;1.0;;;;;;0.0;;1.0;4;;;;0.0;;1;3.0;1.0;3.0;;;A17;A16;;;;;;;;;;;;;;;;12:30;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
18;A22;1.0;;;;;;0.0;;2.0;3;;;;1.0;;1;3.0;1.0;2.0;;;;;;;;;;;;;;;;;;;;12:30;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
19;A29;1.0;;;;;;0.0;;0.0;3;;;;1.0;;1;2.0;0.0;1.0;;;A26;A27;A28;;;;;;;;;;;;;;;12:24;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
20;A24;1.0;;;;;;0.0;;2.0;1;;;;1.0;;2;3.0;2.0;3.0;;;A25;;;;;;;;;;;;;;;;;12:29;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
21;A25;0.0;;;;;;0.0;;2.0;2;;;;1.0;;1;1.0;2.0;2.0;;;A24;;;;;;;;;;;;;;;;;12:29;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
22;A28;0.0;;;;;;0.0;;0.0;2;;;;1.0;;1;2.0;1.0;2.0;;;A26;A27;A29;;;;;;;;;;;;;;;14:24;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
23;A26;0.0;;;;;;0.0;;0.0;3;;;;1.0;;1;2.0;0.0;1.0;;;A27;A28;A29;;;;;;;;;;;;;;;12:24;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
24;A27;1.0;;;;;;0.0;;0.0;2;;;;1.0;;2;1.0;2.0;2.0;;;A26;A28;A29;;;;;;;;;;;;;;;12:24;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
25;A34;1.0;;;;;;0.0;;2.0;1;;;;1.0;;1;3.0;1.0;3.0;;;A35;A37;A36;;;;;;;;;;;;;;;12:35;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
26;A33;0.0;;;;;;0.0;;2.0;3;;;;1.0;;1;3.0;1.0;2.0;;;A32;;;;;;;;;;;;;;;;;12:44;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
27;A32;0.0;;;;;;1.0;;2.0;3;;;;0.0;;1;2.0;2.0;3.0;;;A33;;;;;;;;;;;;;;;;;12:44;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0
28;A40;1.0;;;;;;1.0;;2.0;2;;;;0.0;;1;2.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;12:28;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
29;A42;1.0;;;;;;0.0;;0.0;3;;;;1.0;;1;0.0;2.0;3.0;;;;;;;;;;;;;;;;;;;;12:40;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
30;A51;0.0;;;;;;0.0;;2.0;2;;;;1.0;;1;1.0;1.0;3.0;;;B47;B45;B46;B48;;;;;;;;;;;;;;13:00;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
31;A46;1.0;;;;;;0.0;;2.0;1;;;;0.0;;1;2.0;2.0;2.0;;;;;;;;;;;;;;;;;;;;12:27;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
32;A55;1.0;;;;;;1.0;;2.0;4;;;;0.0;;1;2.0;2.0;3.0;;;;;;;;;;;;;;;;;;;;12:32;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
33;A74;0.0;;;;;;1.0;;1.0;2;;;;1.0;;2;2.0;2.0;2.0;;;A75;;;;;;;;;;;;;;;;;12:53;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
34;A59;;;;;;;1.0;;2.0;1;;;;0.0;;1;2.0;0.0;0.0;;;A59;C01;C02;A57;;;;;;;;;;;;;;12:38;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
35;A49;1.0;;;;;;0.0;;2.0;2;;;;0.0;;1;1.0;1.0;2.0;;;;;;;;;;;;;;;;;;;;13:22;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
36;A73;1.0;;;;;;0.0;;1.0;3;;;;0.0;;1;1.0;0.0;2.0;;;B76;B74;B75;;;;;;;;;;;;;;;13:04;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
37;A76;1.0;;;;;;1.0;;2.0;2;;;;0.0;;1;1.0;1.0;2.0;;;;;;;;;;;;;;;;;;;;12:41;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
38;B28;1.0;;;;;;0.0;;2.0;1;;;;1.0;;1;1.0;2.0;2.0;;;B20;B16;B17;B27;B32;B18;B19;;;;;;;;;;;12:53;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
39;B15;1.0;;;;;;0.0;;2.0;4;;;;1.0;;1;1.0;2.0;2.0;;;B11;B12;B13;B14;B63;B64;B65;;;;;;;;;;;12:58;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
40;B40;1.0;;;;;;1.0;;2.0;3;;;;0.0;;2;3.0;2.0;3.0;;;;;;;;;;;;;;;;;;;;12:51;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0
41;B12;0.0;;;;;;0.0;;2.0;4;;;;1.0;;1;3.0;2.0;3.0;;;B15;B12;B13;B14;B63;B64;B65;;;;;;;;;;;12:58;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
42;B18;1.0;;;;;;0.0;;2.0;3;;;;1.0;;2;2.0;0.0;2.0;;;B20;B17;B16;B27;B32;B28;B19;;;;;;;;;;;12:53;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
43;B34;0.0;;;;;;0.0;;2.0;3;;;;1.0;;1;3.0;1.0;2.0;;;B33;;;;;;;;;;;;;;;;;13:11;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
44;B45;0.0;;;;;;0.0;;2.0;3;;;;1.0;;1;2.0;0.0;2.0;;;A51;B47;B48;B46;;;;;;;;;;;;;;13:08;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
45;B50;1.0;;;;;;0.0;;;3;;;;0.0;;1;3.0;0.0;2.0;;;;;;;;;;;;;;;;;;;;12:40;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
46;B51;1.0;;;;;;0.0;;1.0;3;;;;1.0;;1;3.0;0.0;3.0;;;B53;B54;B52;;;;;;;;;;;;;;;13:02;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
47;B53;1.0;;;;;;0.0;;2.0;3;;;;1.0;;1;0.0;0.0;2.0;;;B51;B52;B54;;;;;;;;;;;;;;;13:03;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
48;B56;1.0;;;;;;1.0;;2.0;3;;;;0.0;;1;3.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;12:59;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
49;A62;1.0;;;;;;0.0;;1.0;4;;;;0.0;;1;1.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;12:41;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
50;A80;1.0;;;;;;0.0;;2.0;3;;;;1.0;;1;1.0;0.0;1.0;;;A81;A78;A77;B01;;;;;;;;;;;;;;12:46;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
51;B81;1.0;;;;;;0.0;;2.0;3;;;;1.0;;1;0.0;0.0;1.0;;;B82;B83;;;;;;;;;;;;;;;;13:15;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
52;A77;1.0;;;;;;0.0;;2.0;2;;;;1.0;;2;3.0;2.0;0.0;;;A82;A81;A80;A21;A22;A78;B01;A79;;;;;;;;;;12:46;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1
53;B04;0.0;;;;;;0.0;;;3;;;;1.0;;2;3.0;2.0;2.0;;;B02;B03;B05;;;;;;;;;;;;;;;12:45;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
54;A67;0.0;;;;;;0.0;;2.0;4;;;;1.0;;1;3.0;;2.0;;;A09;A10;A11;;;;;;;;;;;;;;;12:37;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
55;B02;0.0;;;;;;0.0;;;4;;;;1.0;;1;1.0;0.0;3.0;;;B03;B01;B05;;;;;;;;;;;;;;;12:45;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
56;B23;1.0;;;;;;1.0;;2.0;2;;;;0.0;;1;1.0;2.0;3.0;;;;;;;;;;;;;;;;;;;;12:39;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
57;B19;1.0;;;;;;1.0;;2.0;0;;;;1.0;;2;0.0;0.0;0.0;;;B20;B16;B17;B27;B32;B18;B28;;;;;;;;;;;12:53;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
58;B39;1.0;;;;;;0.0;;0.0;1;;;;;;1;2.0;0.0;2.0;;;;;;;;;;;;;;;;;;;;13:24;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
59;B11;0.0;;;;;;0.0;;2.0;3;;;;1.0;;1;3.0;0.0;1.0;;;B15;B12;B14;B13;B64;;;;;;;;;;;;;12:48;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
60;B27;0.0;;;;;;0.0;;0.0;2;;;;1.0;;1;1.0;0.0;2.0;;;B17;B32;B18;B19;;;;;;;;;;;;;;12:54;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
61;B29;1.0;;;;;;0.0;;1.0;1;;;;1.0;;2;2.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;12:52;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
62;B54;;;;;;;1.0;;2.0;3;;;;0.0;;1;2.0;0.0;3.0;;;B51;B52;B53;;;;;;;;;;;;;;;13:02;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
63;B31;1.0;;;;;;0.0;;1.0;3;;;;0.0;;1;3.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;13:00;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
64;B67;1.0;;;;;;0.0;;2.0;2;;;;0.0;;1;1.0;2.0;2.0;;;B68;;;;;;;;;;;;;;;;;12:54;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;B75;1.0;;;;;;;;2.0;2;;;;1.0;;2;3.0;2.0;2.0;;;B73;B74;B76;;;;;;;;;;;;;;;13:04;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;B74;1.0;;;;;;1.0;;2.0;4;;;;1.0;;1;0.0;1.0;3.0;;;B73;B76;;;;;;;;;;;;;;;;13:04;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;B80;1.0;;;;;;0.0;;1.0;3;;;;1.0;;1;2.0;2.0;3.0;;;;;;;;;;;;;;;;;;;;13:11;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
68;B76;0.0;;;;;;1.0;;1.0;2;;;;1.0;;1;2.0;0.0;2.0;;;B73;B74;B75;;;;;;;;;;;;;;;13:04;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
69;B78;1.0;;;;;;1.0;;2.0;3;;;;0.0;;1;2.0;2.0;2.0;;;;;;;;;;;;;;;;;;;;13:02;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
