,Unnamed: 0_x,Genre,¬ge,Taille (m),Poids (kg),IMC ,ActivitÈ physique,RÈgime particulier,VÈgÈ,Equilibre alim,Nb groupe entrÈe,ProximitÈ,Influ sociale,Percept senso,Faim,Stress,Nb convives ,Ami 1,Ami 2,Ami 3 ,Ami 4,Ami 5,Unnamed: 0_y,torsades,feuillet√©saumonoseille,boeufbourguignon,kebab,risottocourgettes,pizzaraclette,faux-filet,pizzamerguezpoivrons,hamburger,escalopeviennoise,poel√©ebrocolis,frites,torsadespoel√©ebrocolis,ratatouille,chouxblanc√†lajaponaise,saladelentilles,champignons,carottesr√¢p√©es,oeufmimosa,saladepates,artichauts,salami,coeursdepalmiers,tomates,yaourtauxfruits,≈ìuf√†laneige,faissellenature,yaourtnaturesucr√©,fromageblancfruitsrouges,banane,mimolette,flancchocolat,faissellenatureflancchocolat,orange,yaourtnaturesucr√©yaourtauxfruits,pommegolden,kiwi,Horodateur
2E8L,0,M,20,"1,84",72,"21,26654064",1.5456794047854434,0,0,0.1648749787531096,4,0,-0.6372288490492298,0.4913906275557479,-0.323661595420856,0.0597534681150133,4,2H8Q,,,,,110,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:09:50  
6Z9V,1,M,19,"1,75",79,"25,79591837",-0.6393124239688485,1,0,0.1648749787531096,5,0,-0.6372288490492298,0.4913906275557479,1.0004085676644638,2.2108783202554925,,,,,,,121,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0, 13:15:46  
1P5N,2,M,19,"1,74",74,"24,44180209",0.4531834904082975,1,0,0.1648749787531096,4,0,0.6372288490492298,-0.4562912970160515,-0.323661595420856,1.135315894185253,,,,,,,120,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:15:23  
1L0F,3,M,21,"1,7",51,"17,64705882",-0.0930644667802754,1,0,0.1648749787531096,5,0,-0.6372288490492298,-1.4039732215878509,-0.323661595420856,1.135315894185253,,,,,,,117,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:14:12  
6U1H,4,M,18,"1,78",71,"22,40878677",0.4531834904082975,0,0,0.1648749787531096,4,0,-0.6372288490492298,1.4390725521275474,-0.323661595420856,0.0597534681150133,,,,,,,116,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:13:28  
5I3E,5,M,21,"1,78",66,"20,83070319",0.4531834904082975,0,0,0.1648749787531096,4,1,-0.6372288490492298,1.4390725521275474,1.0004085676644638,1.135315894185253,4,0O5Q,5B2Z,9J6M,,,99,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:05:43  
9J6M,6,M,21,"1,85",68,"19,86851717",-0.6393124239688485,1,1,0.1648749787531096,4,1,1.9116865471476892,0.4913906275557479,1.0004085676644638,0.0597534681150133,4,5B2Z,0O5Q,5I3E,,,90,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:02:52  
5B2Z,7,M,21,"1,95",68,"17,88297173",0.4531834904082975,0,0,-0.8028694617542734,4,1,-0.6372288490492298,-1.4039732215878509,1.0004085676644638,-1.0158089579552263,4,0O5Q,5I3E,9J6M,,,86,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:013:59  
0O5Q,8,M,21,"1,7",70,"24,22145329",-0.6393124239688485,0,0,-0.8028694617542734,4,0,-0.6372288490492298,-0.4562912970160515,-0.323661595420856,-1.0158089579552263,4,5B2Z,5I3E,9J6M,,,88,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:02:30  
7U7X,9,F,19,"1,65",60,"22,03856749",0.4531834904082975,1,0,0.1648749787531096,4,0,-0.6372288490492298,1.4390725521275474,-0.323661595420856,1.135315894185253,,,,,,,100,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, 13:05:56  
9P8X,10,M,22,"1,7",70,"24,22145329",1.5456794047854434,0,0,2.100363859767876,3,0,0.6372288490492298,-1.4039732215878509,-0.323661595420856,0.0597534681150133,2,9K7A,,,,,103,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0, 13:08:14  
2G3P,13,M,20,"1,69",65,"22,75830678",-1.7318083383459943,0,0,1.1326194192604928,2,1,0.6372288490492298,0.4913906275557479,-0.323661595420856,0.0597534681150133,2,8O4J,,,,,122,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:16:11  
0R7V,14,M,18,"1,82",58,"17,50996256",-0.6393124239688485,0,0,-0.8028694617542734,2,0,-0.6372288490492298,-0.4562912970160515,-0.323661595420856,-1.0158089579552263,2,1Y1C,,,,,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:16:47  
1Y1C,15,M,19,"1,6",65,"25,390625",-1.7318083383459943,0,0,-0.8028694617542734,2,0,-0.6372288490492298,-1.4039732215878509,1.0004085676644638,-1.0158089579552263,2,0R7V,,,,,123,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:16:22  
2H8Q,16,M,20,"1,75",75,"24,48979592",1.5456794047854434,0,0,0.1648749787531096,4,0,-0.6372288490492298,-0.4562912970160515,1.0004085676644638,-1.0158089579552263,4,2E8L,,,,,101,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0, 13:06:08  
9A6W,17,M,21,"1,8",75,"23,14814815",0.4531834904082975,0,0,0.1648749787531096,1,0,-0.6372288490492298,-0.4562912970160515,-0.323661595420856,-1.0158089579552263,1,,,,,,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:08:33  
7P8D,18,M,21,"1,79",100,"31,21001217",-1.7318083383459943,0,0,0.1648749787531096,1,0,-0.6372288490492298,0.4913906275557479,-1.647731758506176,0.0597534681150133,1,,,,,,125,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0, 13:16:57  
3R5P,19,F,21,"1,63",42,"15,80789642",0.4531834904082975,0,0,2.100363859767876,2,0,-0.6372288490492298,1.4390725521275474,1.0004085676644638,0.0597534681150133,3,1W6X,1T9W,,,,129,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:18:29  
6O4Y,20,M,19,"1,85",74,"21,62162162",-0.6393124239688485,0,0,0.1648749787531096,6,1,-0.6372288490492298,-1.4039732215878509,1.0004085676644638,1.135315894185253,5,0S0Q,0A4U,0R4C,2U4F,,114,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0, 13:12:31  
7N3X,21,M,18,"1,67",52,"18,64534404",-0.6393124239688485,0,0,0.1648749787531096,2,0,-0.6372288490492298,-0.4562912970160515,1.0004085676644638,0.0597534681150133,2,7I5L,,,,,58,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, 12:53:46  
0A4U,22,M,19,"1,78",59,"18,62138619",-1.7318083383459943,0,0,0.1648749787531096,6,1,-0.6372288490492298,1.4390725521275474,-0.323661595420856,-1.0158089579552263,5,0R4C,6O4Y,0S0Q,2U4F,,115,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:12:52  
7I5L,23,M,18,"1,75",89,"29,06122449",0.4531834904082975,0,0,1.1326194192604928,2,1,-0.6372288490492298,-1.4039732215878509,-0.323661595420856,1.135315894185253,2,7N3X,,,,,59,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, 12:54:11  
1W6X,24,F,20,"1,6",42,"16,40625",0.4531834904082975,0,0,2.100363859767876,3,1,-0.6372288490492298,1.4390725521275474,1.0004085676644638,2.2108783202554925,3,3R5P,1T9W,,,,127,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:17:30  
1T9W,25,F,21,"1,62",54,"20,57613169",0.4531834904082975,0,0,0.1648749787531096,3,1,0.6372288490492298,0.4913906275557479,-0.323661595420856,1.135315894185253,3,3R5P,1W6X,,,,126,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0, 13:17:12  
0R4C,26,M,19,"1,87",67,"19,15982728",1.5456794047854434,0,0,0.1648749787531096,6,0,-0.6372288490492298,-1.4039732215878509,1.0004085676644638,0.0597534681150133,5,6O4Y,0S0Q,0A4U,2U4F,,113,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:12:05  
2U4F,27,M,20,"1,7",65,"22,49134948",-0.6393124239688485,0,0,-1.7706139022616565,6,1,-0.6372288490492298,1.4390725521275474,1.0004085676644638,-1.0158089579552263,5,0S0Q,0A4U,0R4C,6O4Y,,111,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0, 13:113:24  
0S0Q,28,M,19,"1,78",55,"17,35891933",-0.0930644667802754,0,0,0.1648749787531096,6,1,0.6372288490492298,0.4913906275557479,-0.323661595420856,-1.0158089579552263,5,6O4Y,0A4U,0R4C,2U4F,,112,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0, 13:113:45  
7F5N,29,M,19,"1,87",84,"24,02127599",0.4531834904082975,0,0,0.1648749787531096,16,1,-0.6372288490492298,0.4913906275557479,1.0004085676644638,-1.0158089579552263,7,2G9N,3W3R,0S7C,2G0T,1N9S,79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 12:59:10  
1N9S,30,M,18,"1,72",75,"25,35154137",1.5456794047854434,1,1,2.100363859767876,11,1,0.6372288490492298,-0.4562912970160515,1.0004085676644638,0.0597534681150133,7,1J4B,3W3R,2G0T,7F5N,0S7C,80,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 12:59:24  
1J4B,33,F,19,"1,65",60,"22,03856749",-0.6393124239688485,0,0,0.1648749787531096,11,1,1.9116865471476892,1.4390725521275474,1.0004085676644638,-1.0158089579552263,7,1N9S,7F5N,3W3R,2G0T,0S7C,78,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 12:58:41  
7K6G,34,M,19,"1,7",64,"22,14532872",1.5456794047854434,0,0,0.1648749787531096,4,1,-0.6372288490492298,0.4913906275557479,1.0004085676644638,-1.0158089579552263,4,5D2H,3S6B,4L1N,,,69,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 12:56:18  
4L1N,35,M,18,"1,95",77,"20,24983563",-1.7318083383459943,0,0,-0.8028694617542734,4,1,0.6372288490492298,1.4390725521275474,1.0004085676644638,-1.0158089579552263,4,7K6G,5D2H,3S6B,,,71,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 12:57:00  
5D2H,37,M,19,"1,91",72,"19,73630109",-0.6393124239688485,0,0,0.1648749787531096,4,0,-0.6372288490492298,1.4390725521275474,1.0004085676644638,-1.0158089579552263,4,7K6G,4L1N,3S6B,,,63,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 12:54:54  
8M9W,39,M,18,"1,78",65,"20,51508648",1.5456794047854434,0,0,0.1648749787531096,17,0,-0.6372288490492298,1.4390725521275474,1.0004085676644638,2.2108783202554925,,,,,,,85,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:013:50  
2G2S,40,F,19,"1,62",60,"22,86236854",-0.6393124239688485,0,0,-0.8028694617542734,11,1,-0.6372288490492298,-0.4562912970160515,-0.323661595420856,1.135315894185253,,,,,,,87,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:02:29  
8H6H,41,F,19,"1,65",58,"21,30394858",-0.6393124239688485,0,0,-0.8028694617542734,11,1,3.186144245246149,-1.4039732215878509,-2.971801921591496,-1.0158089579552263,,,,,,,76,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 12:57:54  
2A2L,42,M,19,"1,72",70,"23,66143862",1.5456794047854434,0,0,0.1648749787531096,11,1,-0.6372288490492298,1.4390725521275474,1.0004085676644638,2.2108783202554925,,,,,,,82,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:00:08  
2G0T,43,F,19,"1,73",60,"20,04744562",0.4531834904082975,0,0,2.100363859767876,7,0,-0.6372288490492298,0.4913906275557479,-0.323661595420856,0.0597534681150133,7,1N9S,3W3R,0S7C,7F5N,1J4B,73,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 12:57:19  
0S7C,44,F,20,"1,58",68,"27,23922448",0.4531834904082975,1,0,0.1648749787531096,7,1,-0.6372288490492298,1.4390725521275474,1.0004085676644638,-1.0158089579552263,7,1N9S,3W3R,7F5N,1J4B,2G9N,75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0, 12:57:39  
5Y6U,45,M,21,"1,83",66,"19,70796381",1.5456794047854434,1,1,2.100363859767876,4,0,-0.6372288490492298,-0.4562912970160515,1.0004085676644638,1.135315894185253,2,4D4V,,,,,92,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, 13:03:15  
1W8I,46,M,21,"1,84",69,"20,38043478",0.4531834904082975,1,0,-0.8028694617542734,4,1,-0.6372288490492298,-0.4562912970160515,-1.647731758506176,-1.0158089579552263,3,6L3J,6C9H,,,,94,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:04:06  
6L3J,47,F,20,"1,67",55,"19,72103697",0.4531834904082975,0,0,-0.8028694617542734,3,1,-0.6372288490492298,-0.4562912970160515,-0.323661595420856,0.0597534681150133,3,6C9H,1W8I,,,,96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0, 13:04:43  
6C9H,48,M,19,"1,69",60,"21,0076678",-0.6393124239688485,0,0,0.1648749787531096,3,1,-0.6372288490492298,0.4913906275557479,-0.323661595420856,0.0597534681150133,3,1W8I,6L3J,,,,98,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0, 13:05:12  
4D4V,50,M,21,"1,78",75,"23,67125363",0.4531834904082975,0,0,0.1648749787531096,4,1,0.6372288490492298,1.4390725521275474,1.0004085676644638,2.2108783202554925,2,5Y6U,,,,,89,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0, 13:02:43  
1M5C,51,M,22,"1,77",60,"19,15158479",0.4531834904082975,1,0,0.1648749787531096,3,1,1.9116865471476892,1.4390725521275474,-0.323661595420856,0.0597534681150133,3,1T2N,9Y6D,,,,104,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:08:22  
5O0Y,52,M,26,"1,8",76,"23,45679012",0.4531834904082975,0,0,0.1648749787531096,2,0,-0.6372288490492298,1.4390725521275474,1.0004085676644638,0.0597534681150133,2,8K4B,,,,,128,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:17:39  
8K4B,53,F,21,"1,82",65,"19,62323391",-1.7318083383459943,1,0,-0.8028694617542734,2,1,0.6372288490492298,0.4913906275557479,-1.647731758506176,0.0597534681150133,2,5O0Y,,,,,130,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0, 13:18:57  
1T2N,57,M,21,"1,7",80,"27,6816609",-0.6393124239688485,0,0,2.100363859767876,11,1,-0.6372288490492298,-1.4039732215878509,-0.323661595420856,0.0597534681150133,3,1M5C,9Y6D,,,,106,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0, 13:08:58  
